,SSC_CODE_2016,SSC_NAME_2016,1st_language,2nd_language,3rd_language,Latitude,Longitude,Primary_school_ranking,Secondary_school_ranking,yr12_school_ranking,The median of Housing price (k Dollars)
76,10340,Bidwill,40.0,2.0,48,-33.7315556,150.8231418,0,0,0,485.0
77,11886,Hebersham,20.0,2.0,40,-33.7459836,150.8245953,0,0,0,508.0
78,11248,Dharruk,2.0,40.0,20,-33.74807,150.8159,0,0,0,495.0
79,10392,Blackett,40.0,2.0,48,-33.73934,150.81266,0,0,0,460.0
80,11413,Emerton,40.0,2.0,44,-33.75,150.8027,0,0,0,470.0
81,11659,Glendenning,38.0,44.0,20,-33.7461349,150.8536426,0,0,0,648.0
82,11224,Dean Park,44.0,2.0,21,-33.7333,150.85,0,0,0,630.0
83,13230,Plumpton,44.0,20.0,50,-33.7514593,150.8412545,0,0,0,633.0
84,13058,Oakhurst,44.0,20.0,2,-33.7385688,150.8359742,0,0,0,630.0
85,11866,Hassall Grove,2.0,44.0,20,-33.7309406,150.840584,0,0,0,611.0
86,13523,Shalvey,40.0,48.0,2,-33.7270571,150.8057017,0,0,0,510.0
87,14302,Willmot,40.0,2.0,50,-33.7254,150.79238,0,0,0,408.0
88,13934,Tregear,40.0,2.0,48,-33.75,150.7944,0,0,0,430.0
89,12307,Lethbridge Park,40.0,2.0,48,-33.7374293,150.8013419,0,0,0,486.0
90,13397,Ropes Crossing,44.0,19.0,20,-33.733,150.791,0,0,0,0.0
91,12756,Mount Druitt,50.0,2.0,44,-33.7722,150.8194,0,0,0,653.0
92,14266,Whalan,40.0,2.0,20,-33.7583,150.8083,0,0,0,470.0
93,11366,Eastern Creek,2.0,44.0,20,-33.8071983,150.8514864,0,0,0,0.0
94,12633,Minchinbury,44.0,2.0,20,-33.7896243,150.8369469,0,0,0,730.0
95,13395,Rooty Hill,44.0,14.0,20,-33.7715246,150.843841,0,0,0,0.0
96,10517,Botany,32.0,18.0,42,-33.9469267,151.1973167,0,0,0,1500.0
97,12519,Mascot,32.0,22.0,7,-33.9296324,151.1946223,0,0,0,1300.0
98,11368,Eastlakes,6.0,18.0,22,-33.9272474,151.2106299,0,0,0,1400.0
99,13405,Rosebery,32.0,18.0,7,-33.9221918,151.201678,0,0,0,1700.0
100,13125,Pagewood,18.0,32.0,22,-33.9406443,151.2154524,0,0,0,1800.0
101,11185,Daceyville,18.0,32.0,39,-33.92793,151.22349,0,0,0,0.0
102,11911,Hillsdale,6.0,42.0,4,-33.95493,151.22875,0,0,0,0.0
103,11367,Eastgardens,18.0,32.0,22,-33.946,151.225,0,0,0,1500.0
104,12524,Matraville,7.0,32.0,18,-33.9613,151.2315,0,0,0,1600.0
105,12504,Marrickville,18.0,51.0,2,-33.908667,151.1524142,0,0,0,1400.0
106,13190,Petersham,37.0,18.0,42,-33.8962174,151.1541497,0,['13'],['19'],1400.0
107,11303,Dulwich Hill,18.0,2.0,51,-33.90332679999999,151.1424436,0,0,0,1500.0
108,12960,Newtown,32.0,18.0,42,-33.8978149,151.1785003,0,0,0,1400.0
109,12313,Lewisham,18.0,37.0,42,-33.8949,151.144415,0,0,0,1400.0
110,13650,Stanmore,18.0,24.0,37,-33.8934542,151.1643805,['51'],['62'],0,1500.0
111,10781,Camperdown,32.0,7.0,42,-33.88622429999999,151.1791091,0,0,0,1300.0
112,11425,Enmore,18.0,42.0,51,-33.90067,151.16768,0,0,0,1400.0
113,13644,St Peters,7.0,51.0,29,-33.9155155,151.1746184,0,0,0,1300.0
114,13714,Sydenham,46.0,18.0,51,-33.9158055,151.1679944,0,0,0,1200.0
115,13785,Tempe,29.0,51.0,7,-33.925048,151.1604169,0,['75'],0,1200.0
116,11212,Darlinghurst,46.0,42.0,15,-33.8780176,151.2204441,['1'],['9'],"['4,16']",2000.0
117,11439,Erskineville,32.0,42.0,7,-33.90476,151.18479,['74'],0,0,1500.0
118,10030,Alexandria,32.0,7.0,42,-33.9080273,151.1902576,0,0,0,1600.0
119,11641,Glebe,32.0,51.0,42,-33.8797767,151.1869715,0,0,0,1700.0
120,11546,Forest Lodge,32.0,7.0,42,-33.88396,151.1815,0,0,0,1700.0
121,10061,Annandale,24.0,32.0,42,-33.8814,151.1707,['99'],0,0,1600.0
122,11214,Darlington,32.0,7.0,51,-33.890334,151.19661,0,0,0,1400.0
123,13256,Potts Point,42.0,24.0,15,-33.86795,151.22411,0,0,['59'],0.0
124,11395,Elizabeth Bay,15.0,42.0,24,-33.87143,151.22841,0,0,0,0.0
125,14406,Woolloomooloo,32.0,42.0,15,-33.8704,151.2223,0,0,0,0.0
126,13444,Rushcutters Bay,37.0,42.0,15,-33.8742991,151.2284588,0,0,0,0.0
127,13284,Pyrmont,32.0,7.0,28,-33.8737167,151.1956918,0,0,0,0.0
128,14006,Ultimo,32.0,7.0,46,-33.88223,151.19696,['81'],['91'],['60'],0.0
129,13339,Redfern,32.0,7.0,42,-33.892963,151.2053979,0,0,0,1400.0
130,11471,Eveleigh,51.0,7.0,32,-33.895,151.191,0,0,0,0.0
131,10907,Chippendale,32.0,7.0,22,-33.8863,151.1999,0,0,0,1400.0
