,MB_CODE_2016,SSC_CODE_2016,SSC_NAME_2016,STATE_CODE_2016,STATE_NAME_2016,AREA_ALBERS_SQKM
2870,10076760000,12575,Merimbula,1,New South Wales,0.0453
2924,11204783900,13973,Tura Beach,1,New South Wales,0.02
2967,10075381000,13595,South Pambula,1,New South Wales,0.0293
2974,10075910000,13140,Pambula,1,New South Wales,0.0214
3043,10078910000,10579,Broadwater (Bega Valley - NSW),1,New South Wales,0.146
3053,10079490000,10147,Bald Hills (NSW),1,New South Wales,7.1456
3055,10074593000,12622,Millingandi,1,New South Wales,1.131
3061,10074490000,12644,Mirador,1,New South Wales,0.0449
3062,11205736300,10312,Berrambool,1,New South Wales,0.0381
3194,10250020000,12734,Moruya,1,New South Wales,1.1874
3228,10248540000,12735,Moruya Heads,1,New South Wales,2.2563
3268,10250471000,10302,Bergalia,1,New South Wales,9.4536
3271,10930890000,10962,Coila,1,New South Wales,0.3009
3276,10249310000,11008,Congo,1,New South Wales,9.9789
3280,10254920000,10367,Bingie,1,New South Wales,3.7347
3282,10930910000,12576,Meringo,1,New South Wales,2.4815
3332,10078710000,10307,Bermagui,1,New South Wales,0.0938
3376,10254640000,11191,Dalmeny,1,New South Wales,0.0399
3435,10079150000,11183,Cuttagee,1,New South Wales,10.0015
3438,10927700000,10210,Barragga Bay,1,New South Wales,0.1172
3459,10079292000,14102,Wallaga Lake,1,New South Wales,1.6669
3462,10253360000,10877,Central Tilba,1,New South Wales,1.0091
3469,10250970000,11085,Corunna,1,New South Wales,0.9681
3470,10252010000,13864,Tilba Tilba,1,New South Wales,3.2864
3507,10249010000,12998,North Narooma,1,New South Wales,0.5036
3606,10249160000,10023,Akolele,1,New South Wales,0.1131
3620,10255200000,12883,Mystery Bay,1,New South Wales,0.0001
3705,10309393000,11725,Goulburn,1,New South Wales,0.08800000000000001
3790,10310632000,13440,Run-o-Waters,1,New South Wales,0.9874
4122,10310690000,12513,Marulan,1,New South Wales,0.1366
4134,10310460000,14318,Windellama,1,New South Wales,119.94
4141,10790490000,11122,Crooked Corner,1,New South Wales,74.9622
4142,10790350000,10346,Bigga,1,New South Wales,85.5524
4152,11205815600,13883,Tirrannaville,1,New South Wales,70.5968
4153,10309730000,12239,Lake Bathurst,1,New South Wales,3.7209
4158,10310470000,13297,Quialigo,1,New South Wales,42.263000000000005
4164,10790881000,12235,Laggan,1,New South Wales,39.9901
4176,10790940000,12391,Lost River,1,New South Wales,32.3804
4177,10790980000,12908,Narrawa,1,New South Wales,53.3307
4179,10791980000,11731,Grabben Gullen,1,New South Wales,29.4001
4188,10790121000,14270,Wheeo,1,New South Wales,34.787
4192,10310080000,13152,Parkesbourne,1,New South Wales,22.6794
4193,10310100000,14468,Yarra,1,New South Wales,1.3318
4194,11208332000,10555,Breadalbane (NSW),1,New South Wales,1.8796
4196,10310150000,14354,Wollogorang,1,New South Wales,34.0447
4205,10791610000,11123,Crookwell,1,New South Wales,0.1283
4212,10790440000,13949,Tuena,1,New South Wales,0.461
4214,10790551000,11574,Fullerton,1,New South Wales,58.832
4220,10790470000,13175,Peelwood,1,New South Wales,107.0236
4221,10789910000,12331,Limerick,1,New South Wales,48.5452
4238,10310871000,10685,Bungonia,1,New South Wales,40.5374
4250,10790170000,10972,Collector,1,New South Wales,0.2304
4262,10791863000,12599,Middle Arm,1,New South Wales,11.0343
4263,11205185600,10891,Chatsbury,1,New South Wales,26.6554
4269,11021590000,12882,Myrtleville,1,New South Wales,1.4519
4270,10790810000,13759,Taralga,1,New South Wales,26.8685
4277,11204881300,13767,Tarlo,1,New South Wales,28.8568
4282,11208340000,10336,Biala,1,New South Wales,84.1954
4283,10791350000,12584,Merrill,1,New South Wales,32.8236
4285,10789990000,11820,Gurrundah,1,New South Wales,193.0487
4287,10791410000,11151,Cullerin,1,New South Wales,52.8983
4294,10309770000,14204,Wayo,1,New South Wales,19.4283
4295,10309771000,14386,Woodhouselee,1,New South Wales,13.2327
4297,11205693400,12155,Kingsdale,1,New South Wales,1.3182
4304,10791441000,10183,Bannister (NSW),1,New South Wales,51.7394
4306,10791811000,13176,Pejar,1,New South Wales,21.1772
4313,10791830000,13416,Roslyn,1,New South Wales,43.1997
4320,10791452000,13239,Pomeroy,1,New South Wales,13.8271
4325,10790611000,14454,Yalbraith,1,New South Wales,14.2104
4326,10790600000,11695,Golspie,1,New South Wales,32.8676
4331,10790280000,14284,Wiarborough,1,New South Wales,126.9082
4332,10790250000,14366,Wombeyan Caves,1,New South Wales,26.3642
4334,10789980000,12802,Mount Werong,1,New South Wales,68.1026
4340,10790781000,13666,Stonequarry,1,New South Wales,8.113999999999999
4342,10790784000,13359,Richlands (NSW),1,New South Wales,31.2574
4350,10790631000,11179,Curraweela,1,New South Wales,45.1302
4354,10791910000,10342,Big Hill (NSW),1,New South Wales,65.4104
4356,10791920000,10554,Brayton,1,New South Wales,22.7721
4357,10790670000,10182,Bannaby,1,New South Wales,8.8245
4365,11208320000,11771,Greenwich Park,1,New South Wales,55.2948
4368,10310650000,13733,Tallong,1,New South Wales,0.0102
4397,10309831000,10828,Carrick (NSW),1,New South Wales,54.7098
4413,10310580000,10577,Brisbane Grove,1,New South Wales,5.0283
4425,10790220000,10363,Binda,1,New South Wales,0.0171
4438,11003420000,13930,Towrang,1,New South Wales,6.0207
4452,10310032000,12835,Mummel,1,New South Wales,36.4069
4455,10310020000,10234,Baw Baw (NSW),1,New South Wales,33.9717
4471,10310972000,10541,Boxers Creek,1,New South Wales,14.1254
4475,10310790000,11806,Gundary,1,New South Wales,27.42
4480,10912894000,14493,Yass,1,New South Wales,0.027000000000000003
4586,10912250000,14210,Wee Jasper,1,New South Wales,1.8562
4588,10913590000,12825,Mullion,1,New South Wales,148.8978
4589,10913570000,10861,Cavan (NSW),1,New South Wales,133.9131
4590,10912280000,14058,Uriarra,1,New South Wales,96.6435
4602,10912230000,12907,Narrangullen,1,New South Wales,138.8811
4604,10913540000,14401,Woolgarlo,1,New South Wales,89.5235
4605,10913260000,10478,Bookham,1,New South Wales,142.808
4608,10912190000,10714,Burrinjuck,1,New South Wales,32.7668
4611,10912020000,10362,Binalong,1,New South Wales,1.9489
4615,10339130000,12044,Jugiong,1,New South Wales,48.8105
4616,10339140000,10314,Berremangra,1,New South Wales,54.0915
4620,10339290000,11580,Galong,1,New South Wales,21.2656
4626,10912762000,12481,Manton (NSW),1,New South Wales,16.3161
4631,10913340000,10176,Bango,1,New South Wales,66.2868
4633,10913440000,14494,Yass River,1,New South Wales,42.0823
4639,10130580000,13455,Rye Park,1,New South Wales,191.4848
4644,10790160000,11194,Dalton,1,New South Wales,67.1584
4645,10791150000,10581,Broadway,1,New South Wales,23.6393
4648,10791100000,10404,Blakney Creek,1,New South Wales,51.1527
4649,10791060000,10329,Bevendale,1,New South Wales,46.8117
4658,10913472000,11805,Gundaroo,1,New South Wales,35.2339
4664,11209480000,12286,Laverstock,1,New South Wales,78.7933
4665,10913290000,10535,Bowning,1,New South Wales,83.1548
4667,10911990000,12063,Kangiara,1,New South Wales,91.679
4686,10913420000,10274,Bellmount Forest,1,New South Wales,57.0748
